,Code,accountsPayable,cash,commonStock,deferredLongTermAssetCharges,goodWill,intangibleAssets,longTermDebt,longTermInvestments,minorityInterest,netReceivables,netTangibleAssets,otherAssets,otherCurrentAssets,otherCurrentLiab,otherLiab,otherStockholderEquity,propertyPlantEquipment,retainedEarnings,shortLongTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiab,totalStockholderEquity,treasuryStock,inventory,capitalSurplus,deferredLongTermLiab
2021-06-30 00:00:00,CBA,747063000000.0,87375000000.0,38546000000.0,2067000000.0,5317000000.0,1625000000.0,160425000000.0,94912000000.0,5000000.0,2145000000.0,71771000000.0,817061000000.0,7055000000.0,7331000000.0,5772000000.0,3249000000.0,5284000000.0,37044000000.0,45588000000.0,12666000000.0,1091962000000.0,167763000000.0,844366000000.0,1013244000000.0,78713000000.0,3123000000.0,,,
2021-06-30 00:00:00,CSL,523000000.0,1808800000.0,,529500000.0,1188100000.0,1481600000.0,4213900000.0,21500000.0,,1648000000.0,5711600000.0,540000000.0,,378400000.0,1338900000.0,633200000.0,7536000000.0,12252700000.0,250000000.0,4800000.0,18156900000.0,7389700000.0,3103600000.0,9775600000.0,8381300000.0,-3871400000.0,3780600000.0,,
2021-06-30 00:00:00,BHP,7027000000.0,15246000000.0,2168000000.0,1912000000.0,1197000000.0,240000000.0,15934000000.0,3200000000.0,4341000000.0,6338000000.0,49827000000.0,3784000000.0,660000000.0,6748000000.0,17978000000.0,1832000000.0,73813000000.0,46779000000.0,1739000000.0,3000000.0,108927000000.0,26693000000.0,16403000000.0,53322000000.0,51264000000.0,1799000000.0,4426000000.0,518000000.0,
2020-09-30 00:00:00,NAB,503788000000.0,34652000000.0,43531000000.0,3647000000.0,1838000000.0,1971000000.0,144394000000.0,41213000000.0,1000000.0,21497000000.0,57483000000.0,586940000000.0,10734000000.0,3505000000.0,10491000000.0,2044000000.0,2374000000.0,15717000000.0,61085000000.0,61542000000.0,866565000000.0,232229000000.0,649194000000.0,805272000000.0,61292000000.0,2044000000.0,,,
2020-09-30 00:00:00,WBC,592381000000.0,30129000000.0,40509000000.0,3064000000.0,8397000000.0,3100000000.0,123881000000.0,94210000000.0,51000000.0,1162000000.0,56526000000.0,703811000000.0,5683000000.0,8271000000.0,13241000000.0,1544000000.0,3910000000.0,26533000000.0,33916000000.0,20401000000.0,911946000000.0,98518000000.0,704393000000.0,843872000000.0,68023000000.0,981000000.0,,,
2020-09-30 00:00:00,ANZ,673191000000.0,72320000000.0,26531000000.0,2124000000.0,3264000000.0,1115000000.0,93980000000.0,95555000000.0,10000000.0,161000000.0,56908000000.0,622361000000.0,22650000000.0,31894000000.0,10864000000.0,1501000000.0,3013000000.0,33255000000.0,25688000000.0,35603000000.0,1042286000000.0,316978000000.0,874946000000.0,980989000000.0,61287000000.0,1501000000.0,,,
2021-03-31 00:00:00,MQG,84199000000.0,15882000000.0,10173000000.0,1472000000.0,1321000000.0,1222000000.0,80220000000.0,13330000000.0,303000000.0,8257000000.0,19505000000.0,107220000000.0,51357000000.0,29422000000.0,2554000000.0,1277000000.0,4676000000.0,12231000000.0,,,245653000000.0,117884000000.0,139744000000.0,223302000000.0,22048000000.0,-356000000.0,,,
2021-06-30 00:00:00,WES,4234000000.0,3023000000.0,15826000000.0,613000000.0,2967000000.0,935000000.0,2072000000.0,1899000000.0,,1247000000.0,5813000000.0,920000000.0,324000000.0,722000000.0,376000000.0,-6171000000.0,10397000000.0,60000000.0,950000000.0,,26214000000.0,9096000000.0,7915000000.0,16499000000.0,9715000000.0,-6171000000.0,4502000000.0,,
2021-06-27 00:00:00,WOW,4832000000.0,1009000000.0,5466000000.0,1371000000.0,2881000000.0,1790000000.0,2753000000.0,63000000.0,360000000.0,480000000.0,-3292000000.0,1686000000.0,10996000000.0,14172000000.0,1106000000.0,-7202000000.0,17030000000.0,3115000000.0,,,39236000000.0,15786000000.0,23117000000.0,37497000000.0,1379000000.0,-7202000000.0,3132000000.0,,
2021-06-30 00:00:00,TLS,1204000000.0,1125000000.0,4530000000.0,60000000.0,1052000000.0,6079000000.0,10836000000.0,1091000000.0,687000000.0,4582000000.0,7457000000.0,3474000000.0,695000000.0,2470000000.0,3188000000.0,51000000.0,23715000000.0,10007000000.0,2795000000.0,,42525000000.0,7114000000.0,10424000000.0,27250000000.0,14588000000.0,51000000.0,385000000.0,,1342000000.0
